date,item,forecast_qty
2024-01-19,smoothie,8.857142857142858
2024-01-20,smoothie,8.857142857142858
2024-01-21,smoothie,8.857142857142858
2024-01-22,smoothie,8.857142857142858
2024-01-23,smoothie,8.857142857142858
2024-01-24,smoothie,8.857142857142858
2024-01-25,smoothie,8.857142857142858
2024-01-26,smoothie,8.857142857142858
2024-01-27,smoothie,8.857142857142858
2024-01-28,smoothie,8.857142857142858
2024-01-29,smoothie,8.857142857142858
2024-01-30,smoothie,8.857142857142858
2024-01-01,tea,9.857142857142858
2024-01-02,tea,9.857142857142858
2024-01-03,tea,9.857142857142858
2024-01-04,tea,9.857142857142858
2024-01-05,tea,9.857142857142858
2024-01-06,tea,9.857142857142858
2024-01-07,tea,9.857142857142858
2024-01-08,tea,9.857142857142858
2024-01-09,tea,9.857142857142858
2024-01-10,tea,9.857142857142858
2024-01-11,tea,9.857142857142858
2024-01-12,tea,9.857142857142858
2024-01-13,tea,9.857142857142858
2024-01-14,tea,9.857142857142858
2024-01-15,tea,9.857142857142858
2024-01-16,tea,9.857142857142858
2024-01-17,tea,9.857142857142858
2024-01-18,tea,9.857142857142858
2024-01-19,tea,9.857142857142858
2024-01-20,tea,9.857142857142858
2024-01-21,tea,9.857142857142858
2024-01-22,tea,9.857142857142858
2024-01-23,tea,9.857142857142858
2024-01-24,tea,9.857142857142858
2024-01-25,tea,9.857142857142858
2024-01-26,tea,9.857142857142858
2024-01-27,tea,9.857142857142858
2024-01-28,tea,9.857142857142858
2024-01-29,tea,9.857142857142858
2024-01-30,tea,9.857142857142858
